Designator,Mid X,Mid Y,Layer,Rotation
C1,112.42mm,63.64mm,Top,180.0
C2,124.46mm,138.38mm,Top,270.0
C3,124.5mm,80.1mm,Top,270.0
C4,124.46mm,24.08mm,Top,270.0
C5,104.14mm,138.475mm,Top,270.0
C6,104.14mm,80.0mm,Top,270.0
C7,104.14mm,24.175mm,Top,270.0
C8,113.03mm,112.98mm,Top,180.0
C9,113.03mm,102.82mm,Top,180.0
C10,149.9mm,160.575mm,Top,90.0
C11,149.9mm,157.575mm,Top,90.0
C12,139.2mm,159.2mm,Top,270.0
C13,112.42mm,54.14mm,Top,180.0
C14,91.225mm,105.005mm,Top,0.0
C15,91.325mm,99.505mm,Top,180.0
C16,82.4mm,107.5mm,Top,180.0
C17,20.5mm,7.85mm,Top,270.0
C18,32.05mm,12.9mm,Top,180.0
CB1,13.0mm,4.3mm,Top,0.0
D1,5.1mm,10.2375mm,Top,270.0
D2,154.5mm,159.1mm,Top,180.0
D3,166.399998mm,77.199996mm,Top,180.0
D4,166.424999mm,61.1mm,Top,180.0
D6,91.525mm,102.255mm,Top,180.0
F1,34.2mm,8.1mm,Top,0.0
F2,151.8mm,138.74286mm,Top,0.0
F3,151.8mm,142.357145mm,Top,0.0
F4,151.8mm,145.97143mm,Top,0.0
F5,151.8mm,149.585715mm,Top,0.0
F6,151.8mm,153.2mm,Top,0.0
F7,151.8mm,127.9mm,Top,0.0
F8,151.8mm,131.51429mm,Top,0.0
F9,151.8mm,135.128575mm,Top,0.0
J1,179.0mm,40.8mm,Top,90.0
J3,140.925mm,3.22mm,Top,90.0
J5,40.005mm,8.165mm,Top,0.0
J6,140.925mm,64.18mm,Top,90.0
J7,140.925mm,84.5mm,Top,90.0
J8,140.925mm,104.82mm,Top,90.0
J9,140.925mm,43.86mm,Top,90.0
J19,164.5mm,87.3mm,Top,0.0
J20,10.75mm,121.2mm,Top,0.0
J21,18.37mm,111.04mm,Top,0.0
J22,18.37mm,88.18mm,Top,0.0
J23,64.09mm,120.184mm,Top,0.0
J24,64.09mm,93.26mm,Top,0.0
J25,71.71mm,121.18mm,Top,0.0
J26,71.71mm,95.78mm,Top,0.0
J27,71.71mm,80.54mm,Top,0.0
J28,71.71mm,39.9mm,Top,0.0
J29,10.75mm,55.16mm,Top,0.0
J30,10.75mm,95.8mm,Top,0.0
P1,156.21mm,88.81mm,Top,0.0
P2,156.21mm,91.35mm,Top,0.0
P3,156.21mm,93.89mm,Top,0.0
P4,156.21mm,123.1mm,Top,0.0
P5,156.21mm,118.02mm,Top,0.0
P6,156.21mm,86.27mm,Top,0.0
P7,156.21mm,83.73mm,Top,0.0
P8,156.21mm,81.19mm,Top,0.0
P9,156.21mm,78.65mm,Top,0.0
P10,156.21mm,76.11mm,Top,0.0
P11,156.21mm,73.57mm,Top,0.0
P12,156.21mm,125.64mm,Top,0.0
P13,156.21mm,120.56mm,Top,0.0
P14,156.25mm,22.86mm,Top,0.0
P15,156.25mm,20.32mm,Top,0.0
P16,156.25mm,17.78mm,Top,0.0
P17,156.25mm,15.24mm,Top,0.0
P18,97.2mm,103.5mm,Top,90.0
P19,97.2mm,100.4mm,Top,90.0
Q1,145.4625mm,138.74286mm,Top,180.0
Q2,145.4625mm,142.357145mm,Top,180.0
Q3,145.4625mm,145.97143mm,Top,180.0
Q4,145.4625mm,149.585715mm,Top,180.0
Q5,145.4625mm,153.2mm,Top,180.0
Q6,145.4625mm,127.9mm,Top,180.0
Q7,145.4625mm,131.51429mm,Top,180.0
Q8,145.4625mm,135.128575mm,Top,180.0
R1,120.65mm,118.06mm,Top,180.0
R2,120.65mm,114.25mm,Top,180.0
R3,120.65mm,107.9mm,Top,180.0
R4,111.62mm,59.465mm,Top,90.0
R5,113.52mm,59.465mm,Top,270.0
R6,99.62mm,52.44mm,Top,90.0
R7,97.6mm,52.425mm,Top,270.0
R8,111.62mm,50.04mm,Top,90.0
R9,113.52mm,50.04mm,Top,270.0
R10,99.62mm,61.94mm,Top,90.0
R11,97.62mm,61.94mm,Top,270.0
R12,120.65mm,104.09mm,Top,180.0
R13,5.1mm,13.8375mm,Top,270.0
R14,141.5mm,138.84286mm,Top,90.0
R15,141.5mm,142.457145mm,Top,90.0
R16,141.5mm,146.07143mm,Top,90.0
R17,141.5mm,149.685715mm,Top,90.0
R18,141.5mm,153.3mm,Top,90.0
R19,141.5mm,128.0mm,Top,90.0
R20,141.5mm,131.61429mm,Top,90.0
R21,141.5mm,135.228575mm,Top,90.0
R22,157.9mm,136.975mm,Top,90.0
R23,157.9mm,141.625mm,Top,270.0
R24,158.7mm,154.7mm,Top,180.0
R25,158.7mm,156.6mm,Top,0.0
R26,162.7mm,154.7mm,Top,0.0
R27,162.7mm,156.6mm,Top,180.0
R28,166.7mm,154.7mm,Top,180.0
R29,166.7mm,156.6mm,Top,0.0
R30,166.6mm,161.1mm,Top,180.0
R31,166.6mm,159.2mm,Top,0.0
R32,158.7mm,161.1mm,Top,180.0
R33,158.7mm,159.2mm,Top,0.0
R34,162.7mm,161.1mm,Top,0.0
R35,162.7mm,159.2mm,Top,180.0
R36,170.8mm,161.1mm,Top,0.0
R37,170.8mm,159.2mm,Top,180.0
R38,164.8mm,15.2mm,Top,180.0
R39,164.8mm,17.0mm,Top,180.0
R40,159.225mm,38.3mm,Top,90.0
R41,159.225mm,41.5mm,Top,90.0
R42,168.775mm,17.025mm,Top,0.0
R43,168.775mm,15.225mm,Top,180.0
R44,164.8mm,9.0mm,Top,180.0
R45,164.8mm,10.8mm,Top,0.0
R46,168.825mm,9.0mm,Top,0.0
R47,168.975mm,72.5mm,Top,0.0
R48,168.975mm,70.7mm,Top,180.0
R49,168.825mm,10.8mm,Top,180.0
R50,168.975mm,64.9mm,Top,0.0
R51,168.975mm,66.7mm,Top,180.0
R52,164.8mm,72.5mm,Top,180.0
R53,164.8mm,70.7mm,Top,0.0
R54,164.8mm,64.9mm,Top,180.0
R55,164.8mm,66.7mm,Top,0.0
R56,151.6mm,159.1mm,Top,270.0
R57,168.15mm,58.324999mm,Top,180.0
R58,170.825mm,154.7mm,Top,0.0
R59,170.825mm,156.6mm,Top,180.0
R60,168.124999mm,80.075001mm,Top,180.0
R62,87.525mm,102.305mm,Top,270.0
RN1,91.44mm,151.08mm,Top,90.0
RN2,99.06mm,151.08mm,Top,90.0
RN3,99.06mm,130.76mm,Top,270.0
RN4,91.44mm,130.76mm,Top,270.0
RN5,91.44mm,92.66mm,Top,270.0
RN6,99.06mm,92.66mm,Top,270.0
RN7,99.06mm,72.34mm,Top,90.0
RN8,91.44mm,72.34mm,Top,90.0
RN9,91.44mm,36.78mm,Top,270.0
RN10,99.06mm,36.78mm,Top,270.0
RN11,99.06mm,16.46mm,Top,90.0
RN12,91.44mm,16.46mm,Top,90.0
RN13,97.91mm,115.31mm,Top,180.0
RN14,97.91mm,108.96mm,Top,180.0
U1,105.5mm,60.7mm,Top,0.0
U2,114.3mm,140.92mm,Top,180.0
U3,114.3mm,82.5mm,Top,180.0
U4,114.3mm,26.62mm,Top,180.0
U5,93.98mm,140.92mm,Top,180.0
U6,93.98mm,82.5mm,Top,180.0
U7,93.98mm,26.62mm,Top,180.0
U8,113.03mm,116.79mm,Top,270.0
U9,113.03mm,106.63mm,Top,270.0
U10,90.17mm,112.98mm,Top,270.0
U11,105.52mm,51.24mm,Top,0.0
U12,144.4mm,159.1mm,Top,270.0
U13,82.625mm,102.305mm,Top,270.0
U14,26.02mm,11.94mm,Top,270.0
